Country,Arrivals in 2024,Arrivals in 2023,Growth percent(%),Rank in 2024,Rank in 2023,Latitude,Longitude
Singapore,18855680,14828553,27.2,1,1,1.20,103.95
Indonesia,4145127,3479392,19.1,2,2,-2.5,117.0
China,3725894,1613312,130.9,3,4,35.86166,104.195397
Thailand,2268182,2300158,-1.4,4,3,15,100
Brunei,1732119,1116211,55.2,5,5,4.5242,114.7196
India,1365387,773221,76.6,6,6,22.8058,79.1052
Philippines,571533,461787,23.8,7,8,13,122
South Korea,553165,465617,18.8,8,7,35.9017,127.7359
Australia,447785,400909,11.7,9,9,-25.6083,134.3547
Chinese Taipei,423117,311437,35.9,10,10,23.3,121
