Country,Year,Rank,Movement
Singapore,2022,1,No rank change
Singapore,2023,1,No rank change
Singapore,2024,1,No rank change
Indonesia,2022,2,No rank change
Indonesia,2023,2,No rank change
Indonesia,2024,2,No rank change
Thailand,2022,3,Moved down
Thailand,2023,3,Moved down
Thailand,2024,4,Moved down
China,2022,6,Moved up
China,2023,4,Moved up
China,2024,3,Moved up
Brunei,2022,4,Moved down
Brunei,2023,5,Moved down
Brunei,2024,5,No rank change
India,2022,5,Moved down
India,2023,6,No rank change
India,2024,6,No rank change
Philippines,2022,7,No rank change
Philippines,2023,8,Moved up
Philippines,2024,7,Moved up
South Korea,2022,8,No rank change
South Korea,2023,7,Moved down
South Korea,2024,8,Moved down
Australia,2022,9,No rank change
Australia,2023,9,No rank change
Australia,2024,9,No rank change
Chinese Taipei,2022,10,No rank change
Chinese Taipei,2023,10,No rank change
Chinese Taipei,2024,10,No rank change
